,Column
0,Year
1,Mileage
2,State_ AK
3,State_ AL
4,State_ AR
5,State_ AZ
6,State_ CA
7,State_ CO
8,State_ CT
9,State_ DC
10,State_ DE
11,State_ FL
12,State_ GA
13,State_ HI
14,State_ IA
15,State_ ID
16,State_ IL
17,State_ IN
18,State_ KS
19,State_ KY
20,State_ LA
21,State_ MA
22,State_ MD
23,State_ ME
24,State_ MI
25,State_ MN
26,State_ MO
27,State_ MS
28,State_ MT
29,State_ NC
30,State_ ND
31,State_ NE
32,State_ NH
33,State_ NJ
34,State_ NM
35,State_ NV
36,State_ NY
37,State_ OH
38,State_ OK
39,State_ OR
40,State_ PA
41,State_ RI
42,State_ SC
43,State_ SD
44,State_ TN
45,State_ TX
46,State_ UT
47,State_ VA
48,State_ VT
49,State_ WA
50,State_ WI
51,State_ WV
52,State_ WY
53,Make-Mod_AcuraMDXAWD
54,Make-Mod_BMW7
55,Make-Mod_BMWX3xDrive28i
56,Make-Mod_BMWX5AWD
57,Make-Mod_BMWX5xDrive35i
58,Make-Mod_BuickLaCrosseFWD
59,Make-Mod_CadillacEscalade
60,Make-Mod_ChevroletCamaro2dr
61,Make-Mod_ChevroletCamaroConvertible
62,Make-Mod_ChevroletColoradoCrew
63,Make-Mod_ChevroletCorvette2dr
64,Make-Mod_ChevroletExpress
65,Make-Mod_ChevroletImpala4dr
66,Make-Mod_ChevroletImpalaLT
67,Make-Mod_ChevroletMalibu
68,Make-Mod_ChevroletMalibu4dr
69,Make-Mod_ChevroletSonicSedan
70,Make-Mod_ChevroletSuburban2WD
71,Make-Mod_ChevroletTahoeLT
72,Make-Mod_ChevroletTraverseAWD
73,Make-Mod_Chrysler300300C
74,Make-Mod_Chrysler3004dr
75,Make-Mod_DodgeChallenger2dr
76,Make-Mod_DodgeChallengerR/T
77,Make-Mod_DodgeCharger4dr
78,Make-Mod_DodgeChargerSE
79,Make-Mod_DodgeChargerSXT
80,Make-Mod_DodgeDurangoAWD
81,Make-Mod_DodgeJourneyFWD
82,Make-Mod_DodgeJourneySXT
83,Make-Mod_FordEconoline
84,Make-Mod_FordEdgeLimited
85,Make-Mod_FordExpedition
86,Make-Mod_FordExplorerFWD
87,Make-Mod_FordF-150SuperCrew
88,Make-Mod_FordF-150XL
89,Make-Mod_FordFusion4dr
90,Make-Mod_FordFusionHybrid
91,Make-Mod_FordMustang2dr
92,Make-Mod_FordMustangGT
93,Make-Mod_FordTaurusSEL
94,Make-Mod_GMCYukon2WD
95,Make-Mod_HondaAccordLX
96,Make-Mod_HondaCR-V4WD
97,Make-Mod_HondaCivicEX
98,Make-Mod_HondaOdysseyTouring
99,Make-Mod_HondaPilot4WD
100,Make-Mod_HyundaiElantra
101,Make-Mod_HyundaiElantraLimited
102,Make-Mod_HyundaiSonataLimited
103,Make-Mod_HyundaiSonataSE
104,Make-Mod_HyundaiTucsonFWD
105,Make-Mod_JeepCherokeeLimited
106,Make-Mod_JeepCompassLatitude
107,Make-Mod_JeepPatriotLatitude
108,Make-Mod_JeepWrangler4WD
109,Make-Mod_JeepWranglerSport
110,Make-Mod_KiaForteLX
111,Make-Mod_KiaSedonaLX
112,Make-Mod_KiaSportageLX
113,Make-Mod_LexusESES
114,Make-Mod_LexusGS
115,Make-Mod_LexusGX
116,Make-Mod_LexusISIS
117,Make-Mod_Mercedes-BenzC-Class4dr
118,Make-Mod_Mercedes-BenzC-ClassC
119,Make-Mod_Mercedes-BenzM-ClassML350
120,Make-Mod_MitsubishiOutlander
121,Make-Mod_NissanMaxima4dr
122,Make-Mod_NissanMurano2WD
123,Make-Mod_NissanPathfinder4WD
124,Make-Mod_Ram15004WD
125,Make-Mod_SubaruLegacy2.5i
126,Make-Mod_Toyota4Runner4WD
127,Make-Mod_Toyota4RunnerSR5
128,Make-Mod_ToyotaAvalonXLE
129,Make-Mod_ToyotaCamry
130,Make-Mod_ToyotaCamryXLE
131,Make-Mod_ToyotaCorolla4dr
132,Make-Mod_ToyotaCorollaL
133,Make-Mod_ToyotaFJ
134,Make-Mod_ToyotaHighlanderFWD
135,Make-Mod_ToyotaPrius5dr
136,Make-Mod_ToyotaPriusTwo
137,Make-Mod_ToyotaRAV44WD
138,Make-Mod_ToyotaRAV4LE
139,Make-Mod_ToyotaRAV4Limited
140,Make-Mod_ToyotaRAV4XLE
141,Make-Mod_ToyotaSienna5dr
142,Make-Mod_ToyotaSiennaXLE
143,Make-Mod_ToyotaTacomaBase
144,Make-Mod_ToyotaTundraSR5
145,Make-Mod_VolkswagenGolf
